Photo,"Label (1 = Striped, 0 = Unstriped)",,
00000500_001.jpg,0,,
00000500_003.jpg,0,,
00000500_005.jpg,0,,
00000500_008.jpg,0,,
00000500_010.jpg,1,,
00000500_011.jpg,1,,
00000500_012.jpg,1,,
00000500_013.jpg,0,,
00000500_014.jpg,1,,
00000500_015.jpg,1,,
00000500_016.jpg,,,
00000500_021.jpg,0,,
00000500_025.jpg,0,,
00000501_003.jpg,0,,
00000501_007.jpg,0,,
00000501_008.jpg,0,,
00000501_009.jpg,0,,
00000501_010.jpg,0,,
00000501_013.jpg,0,,
00000501_017.jpg,0,,
00000501_025.jpg,0,,
00000501_026.jpg,0,,
00000501_029.jpg,0,,
00000502_003.jpg,1,,
00000502_004.jpg,0,,
00000502_013.jpg,0,,
00000502_014.jpg,,,
00000502_015.jpg,1,,
00000502_018.jpg,0,,
00000502_019.jpg,0,,
00000502_020.jpg,0,,
00000502_022.jpg,0,,
00000502_023.jpg,1,,
00000502_024.jpg,0,,
00000502_025.jpg,1,,
00000502_026.jpg,0,,
00000502_028.jpg,0,,
00000502_029.jpg,1,,
00000503_000.jpg,0,,
00000503_001.jpg,1,,
00000503_002.jpg,1,,
00000503_004.jpg,1,only stripes on face,
00000503_006.jpg,1,only stripes on face,
00000503_009.jpg,1,only stripes on face,
00000503_011.jpg,0,,
00000503_014.jpg,0,,
00000503_017.jpg,0,,
00000503_018.jpg,1,,
00000503_019.jpg,0,,
00000503_020.jpg,0,,
00000503_028.jpg,1,only stripes on face,
00000503_029.jpg,1,,
00000504_001.jpg,0,,
00000504_002.jpg,0,,
00000504_003.jpg,1,,
00000504_004.jpg,1,,
00000504_007.jpg,1,,
00000504_009.jpg,1,,
00000504_012.jpg,0,,
00000504_015.jpg,1,,
00000504_018.jpg,0,,
00000504_024.jpg,0,,
00000504_026.jpg,0,,
00000504_028.jpg,0,,
00000505_001.jpg,0,,
00000505_002.jpg,1,only stripes on face,
00000505_004.jpg,0,,
00000505_005.jpg,1,,
00000505_006.jpg,0,,
00000505_008.jpg,0,,
00000505_009.jpg,0,,
00000505_010.jpg,0,,
