Photo,"Label (1 = Striped, 0 = Unstriped)"
00000900_011.jpg,1
00000900_021.jpg,1
00000900_022.jpg,
00000900_026.jpg,1
00000900_029.jpg,0
00000901_004.jpg,1
00000901_011.jpg,1
00000901_012.jpg,0
00000901_017.jpg,0
00000901_022.jpg,1
00000901_023.jpg,0
00000901_025.jpg,1
00000901_027.jpg,0
00000902_007.jpg,0
00000902_014.jpg,1
00000902_022.jpg,1
00000902_024.jpg,1
00000903_000.jpg,0
00000903_002.jpg,0
00000903_004.jpg,0
00000903_008.jpg,1
00000903_012.jpg,0
00000903_019.jpg,1
00000904_004.jpg,0
00000904_009.jpg,1
00000904_010.jpg,0
00000904_011.jpg,1
00000904_012.jpg,1
00000904_015.jpg,0
00000904_016.jpg,1
00000904_018.jpg,1
00000904_021.jpg,1
00000904_022.jpg,0
00000904_023.jpg,1
00000904_025.jpg,1
00000904_026.jpg,1
00000904_027.jpg,1
00000904_028.jpg,1
00000904_029.jpg,1
00000905_000.jpg,0
00000905_005.jpg,1
00000905_006.jpg,0
00000905_007.jpg,0
00000905_013.jpg,0
00000905_014.jpg,1
00000905_018.jpg,0
00000905_029.jpg,1
00000906_001.jpg,0
00000906_004.jpg,0
00000906_005.jpg,0
00000906_011.jpg,1
00000906_018.jpg,1
00000906_019.jpg,0
00000906_021.jpg,0
00000906_025.jpg,0
00000907_011.jpg,0
00000907_013.jpg,1
00000907_015.jpg,1
00000907_018.jpg,0
00000907_028.jpg,1
00000908_002.jpg,1
00000908_009.jpg,1
00000908_017.jpg,0
00000908_019.jpg,0
00000909_009.jpg,0
00000909_011.jpg,0
00000909_016.jpg,0
00000909_017.jpg,0
00000909_018.jpg,0
00000909_019.jpg,
00000909_022.jpg,0
00000909_024.jpg,1
00000909_026.jpg,
00000910_005.jpg,0
00000910_006.jpg,0
00000910_007.jpg,0
00000910_008.jpg,0
00000910_020.jpg,0
00000910_021.jpg,0
00000910_023.jpg,0
00000910_024.jpg,0
00000910_027.jpg,1
00000911_002.jpg,0
00000911_005.jpg,0
00000911_007.jpg,0
00000911_009.jpg,0
00000911_012.jpg,1
00000911_015.jpg,1
00000911_021.jpg,1
00000912_001.jpg,1
00000912_014.jpg,1
00000912_024.jpg,0
00000913_003.jpg,0
00000913_012.jpg,1
00000913_013.jpg,0
00000913_015.jpg,1
00000913_017.jpg,0
00000913_027.jpg,1
00000913_029.jpg,1
00000914_003.jpg,1
00000914_011.jpg,1
00000914_012.jpg,0
00000914_017.jpg,1
00000914_018.jpg,1
00000914_022.jpg,0
00000915_001.jpg,1
00000915_006.jpg,0
00000915_007.jpg,0
00000915_011.jpg,0
00000915_015.jpg,1
00000915_020.jpg,1
00000915_028.jpg,0
00000916_004.jpg,0
00000916_005.jpg,0
00000916_009.jpg,0
00000916_014.jpg,1
00000916_016.jpg,1
00000916_021.jpg,1
00000916_023.jpg,1
00000916_027.jpg,1
00000917_001.jpg,0
00000917_004.jpg,0
00000917_009.jpg,0
00000917_020.jpg,1
00000917_023.jpg,1
00000917_024.jpg,0
00000918_000.jpg,1
00000918_003.jpg,1
00000918_009.jpg,0
00000918_010.jpg,0
00000918_012.jpg,1
00000918_019.jpg,0
00000919_004.jpg,1
00000919_013.jpg,0
00000919_018.jpg,0
00000919_028.jpg,1
00000920_019.jpg,0
00000920_027.jpg,0
00000921_001.jpg,0
00000921_005.jpg,0
00000921_006.jpg,1
00000921_017.jpg,1
00000921_025.jpg,0
00000921_029.jpg,0
00000922_002.jpg,1
00000922_008.jpg,1
00000922_012.jpg,0
00000922_017.jpg,0
00000922_024.jpg,1
00000922_025.jpg,0
00000922_029.jpg,0
00000923_003.jpg,1
00000923_010.jpg,0
00000923_011.jpg,1
00000923_024.jpg,0
00000923_025.jpg,0
00000923_028.jpg,1
00000924_002.jpg,
00000924_011.jpg,1
00000924_014.jpg,1
00000924_027.jpg,1
00000925_001.jpg,1
00000925_006.jpg,0
00000925_008.jpg,1
00000925_012.jpg,1
00000925_013.jpg,
00000925_017.jpg,0
00000925_020.jpg,0
00000925_023.jpg,0
00000925_028.jpg,1
00000925_029.jpg,1
00000926_003.jpg,1
00000926_006.jpg,0
00000926_013.jpg,1
00000926_014.jpg,1
00000926_018.jpg,1
00000926_020.jpg,1
00000926_022.jpg,1
00000926_027.jpg,0
00000927_004.jpg,0
00000927_006.jpg,0
00000927_009.jpg,1
00000927_014.jpg,1
00000927_026.jpg,1
00000928_003.jpg,0
00000928_011.jpg,0
00000928_017.jpg,0
00000928_018.jpg,0
00000928_020.jpg,0
00000929_004.jpg,1
00000929_009.jpg,0
00000929_012.jpg,1
00000929_013.jpg,1
00000929_015.jpg,1
00000929_016.jpg,0
00000929_017.jpg,0
00000929_018.jpg,0
00000929_022.jpg,0
00000929_027.jpg,0
00000929_029.jpg,
00000930_002.jpg,
00000930_005.jpg,0
00000930_006.jpg,
00000930_007.jpg,0
00000930_008.jpg,
00000930_017.jpg,0
00000930_020.jpg,0
00000930_023.jpg,0
00000930_024.jpg,0
00000930_027.jpg,0
00000930_029.jpg,0
00000931_000.jpg,0
00000931_001.jpg,0
00000931_002.jpg,0
00000931_003.jpg,0
00000931_004.jpg,0
00000931_006.jpg,0
00000931_012.jpg,0
00000931_014.jpg,0
00000932_004.jpg,0
00000932_009.jpg,0
00000932_012.jpg,1
00000932_014.jpg,1
00000932_028.jpg,0
00000933_000.jpg,0
00000933_007.jpg,0
00000933_011.jpg,1
00000933_015.jpg,1
00000933_020.jpg,0
00000933_022.jpg,1
00000933_023.jpg,0
00000933_026.jpg,0
00000934_005.jpg,0
00000934_006.jpg,1
00000934_010.jpg,0
00000934_012.jpg,0
00000934_016.jpg,1
00000934_025.jpg,1
00000935_000.jpg,1
00000935_001.jpg,1
00000935_015.jpg,0
00000935_016.jpg,1
00000935_020.jpg,1
00000935_027.jpg,1
00000936_002.jpg,1
00000936_005.jpg,1
00000936_013.jpg,1
00000936_015.jpg,0
00000936_016.jpg,1
00000936_025.jpg,1
00000936_029.jpg,1
00000937_005.jpg,0
00000937_012.jpg,1
00000937_016.jpg,1
00000937_018.jpg,1
00000937_020.jpg,1
00000937_023.jpg,1
00000938_000.jpg,1
00000938_007.jpg,1
00000938_011.jpg,0
00000938_012.jpg,1
00000938_021.jpg,1
00000938_023.jpg,0
00000938_024.jpg,0
00000938_025.jpg,1
00000939_003.jpg,0
00000939_005.jpg,0
00000939_007.jpg,1
00000939_008.jpg,1
00000939_011.jpg,1
00000939_014.jpg,1
00000939_015.jpg,1
00000939_026.jpg,1
00000939_027.jpg,1
00000939_028.jpg,1
00000940_003.jpg,1
00000940_016.jpg,1
00000940_023.jpg,1
00000940_025.jpg,1
00000940_026.jpg,1
00000940_028.jpg,0
00000941_000.jpg,
00000941_013.jpg,1
