Photo,"Label (1 = Striped, 0 = Unstriped)",
00000100_002.jpg,1,
00000100_003.jpg,1,
00000100_005.jpg,1,
00000100_007.jpg,0,
00000100_008.jpg,0,
00000100_012.jpg,1,
00000100_014.jpg,1,
00000100_017.jpg,0,
00000100_021.jpg,1,
00000100_026.jpg,1,
00000100_027.jpg,1,
00000101_004.jpg,0,
00000101_005.jpg,0,
00000101_006.jpg,0,
00000101_012.jpg,1,
00000101_015.jpg,0,
00000101_017.jpg,1,
00000102_003.jpg,0,
00000102_004.jpg,0,
00000102_010.jpg,1,
00000102_013.jpg,1,
00000102_017.jpg,1,
00000102_019.jpg,1,
00000102_021.jpg,1,
00000102_027.jpg,1,
00000103_000.jpg,0,
00000103_003.jpg,1,
00000103_004.jpg,0,
00000103_013.jpg,1,
00000103_019.jpg,0,
00000103_022.jpg,0,
00000103_026.jpg,1,
00000103_029.jpg,0,
00000104_001.jpg,0,
00000104_010.jpg,0,
00000104_015.jpg,0,
00000104_020.jpg,0,
00000104_022.jpg,,
00000104_024.jpg,0,
00000104_028.jpg,1,
00000105_003.jpg,1,
00000105_005.jpg,1,(two again)
00000105_007.jpg,0,
00000105_010.jpg,0,
00000105_011.jpg,0,
00000105_016.jpg,1,
00000105_018.jpg,0,
00000105_019.jpg,0,
00000105_027.jpg,0,
00000105_029.jpg,0,
00000106_002.jpg,0,
00000106_003.jpg,0,
00000106_006.jpg,1,
00000106_009.jpg,,
00000106_014.jpg,1,
00000106_015.jpg,1,
00000106_016.jpg,1,
00000107_000.jpg,1,
00000107_001.jpg,1,
00000107_002.jpg,1,
00000107_006.jpg,0,
00000107_009.jpg,1,
00000107_010.jpg,1,
00000107_012.jpg,1,
00000107_021.jpg,0,
00000107_023.jpg,0,
00000107_024.jpg,0,
00000107_027.jpg,1,
00000108_003.jpg,0,
00000108_004.jpg,0,
00000108_005.jpg,1,
00000108_008.jpg,0,
00000108_016.jpg,0,
00000108_021.jpg,1,
00000108_022.jpg,0,
00000109_005.jpg,1,
00000109_008.jpg,1,
00000109_016.jpg,1,
00000109_018.jpg,0,
00000109_021.jpg,0,
00000109_024.jpg,0,
00000110_001.jpg,1,
00000110_003.jpg,1,
00000110_008.jpg,0,
00000110_010.jpg,0,
00000110_011.jpg,0,
00000110_014.jpg,0,
00000110_021.jpg,1,
00000110_022.jpg,0,
00000110_025.jpg,0,
00000110_029.jpg,0,
00000111_000.jpg,0,
00000111_001.jpg,0,
00000111_008.jpg,0,
00000111_009.jpg,1,
00000111_011.jpg,0,
00000111_018.jpg,0,
00000111_020.jpg,0,
00000111_026.jpg,1,
00000111_029.jpg,1,
00000112_001.jpg,1,
00000112_006.jpg,1,
00000112_009.jpg,1,
00000112_021.jpg,0,
00000112_029.jpg,0,
00000113_001.jpg,1,
00000113_002.jpg,1,
00000113_003.jpg,1,
00000113_005.jpg,0,
00000113_011.jpg,1,
00000113_013.jpg,0,
00000113_014.jpg,0,
00000113_015.jpg,0,
00000113_018.jpg,0,
00000113_024.jpg,1,
00000113_029.jpg,0,
00000114_007.jpg,0,
00000114_010.jpg,1,
00000114_012.jpg,0,
00000114_013.jpg,0,
00000114_028.jpg,1,
00000114_029.jpg,1,
00000115_001.jpg,0,
00000115_002.jpg,1,
00000115_017.jpg,1,
00000115_018.jpg,1,
00000115_020.jpg,1,
00000116_001.jpg,1,
00000116_002.jpg,0,
00000116_007.jpg,0,
00000116_008.jpg,1,
00000116_010.jpg,0,
00000116_011.jpg,0,
00000116_015.jpg,1,
00000116_020.jpg,1,
00000117_006.jpg,0,
00000117_007.jpg,0,
00000117_008.jpg,0,
00000117_009.jpg,0,
00000117_015.jpg,1,
00000117_023.jpg,1,
00000117_024.jpg,0,
00000117_028.jpg,1,
00000118_001.jpg,1,
00000118_004.jpg,0,
00000118_010.jpg,1,
00000118_016.jpg,1,
00000118_019.jpg,0,
00000118_022.jpg,1,
00000119_000.jpg,1,
00000119_004.jpg,1,
00000119_007.jpg,1,
00000119_009.jpg,0,
00000119_010.jpg,0,
00000119_012.jpg,0,
00000119_015.jpg,1,
00000119_019.jpg,0,
00000119_022.jpg,0,
